"TOEKPid","NeighbourEKPid"
"5899973","5900218"
"5899973","3942413"
"5899973","5900286"
"5899973","5900574"
"5899973","5900583"
"5900098","7172716"
"5900098","7178348"
"5900098","7175279"
"5900098","7178856"
"5900098","7173221"
"5900098","7174757"
"5900098","7178853"
"5900098","7178852"
"5900098","7173217"
"5900098","7170687"
"5900965","3916602"
"5900965","7171945"
"5900965","7175787"
"5900965","7174503"
"5900965","7178337"
"5900965","7179105"
"5900965","7173757"
"5900965","7176061"
"5900965","5900619"
"5900965","7173756"
"5899980","3942239"
"5899980","3941570"
"5899980","5900002"
"5899980","3940353"
"5899980","5900405"
"5899980","5900661"
"5900194","7173740"
"5900194","7174377"
"5900194","7176552"
"5900194","7177960"
"5900194","7170149"
"5900194","7175651"
"5900194","7175166"
"5900194","5900111"
"5900194","5900610"
"5900194","7174133"
"5899965","7173485"
"5899965","7175087"
"5899965","7173865"
"5899965","7174376"
"5899965","7173930"
"5899965","7178858"
"5899965","7176357"
"5899965","7173606"
"5899965","5900887"
"5899965","7175456"
"5900394","7190948"
"5900394","5900828"
"5900394","5900594"
"5900394","5900513"
"5900394","5900853"
"5900394","5900965"
"5900594","7171439"
"5900594","7171946"
"5900594","7170661"
"5900594","7171172"
"5900594","7170144"
"5900594","7171682"
"5900594","7173218"
"5900594","7170429"
"5900594","7171965"
"5900594","7170684"
