"","SGD_Id","Concept_Id","Gene_name"
"1","s000004214","3161577","ylr224w (saccharomyces cerevisiae s288c)"
"2","s000005850","3168698","pro2 (saccharomyces cerevisiae s288c)"
"3","s000003573","3166862","snx4 (saccharomyces cerevisiae s288c)"
"4","s000004640","3169286","msn2 (saccharomyces cerevisiae s288c)"
"5","s000001086","3171018","dog1 (saccharomyces cerevisiae s288c)"
"6","s000005393","3168943","mse1 (saccharomyces cerevisiae s288c)"
"7","s000003048","3166403","mpc1 (saccharomyces cerevisiae s288c)"
"8","s000001102","3170949","vma22 (saccharomyces cerevisiae s288c)"
"9","s000003689","3167020","ino1 (saccharomyces cerevisiae s288c)"
"10","s000005428","3168749","rtg1 (saccharomyces cerevisiae s288c)"
"11","s000000604","3161590","adp1 (saccharomyces cerevisiae s288c)"
"12","s000000377","3168166","ump1 (saccharomyces cerevisiae s288c)"
"13","s000002178","3166523","rpn4 (saccharomyces cerevisiae s288c)"
"14","s000004249","3160047","hsp60 (saccharomyces cerevisiae s288c)"
"15","s000006209","3169345","hal1 (saccharomyces cerevisiae s288c)"
